"id";"user_id";"reviewer_id";"title";"category";"aircraft_model";"registration_number";"拍摄时间";"拍摄地点";"filename";"approved";"rejection_reason";"admin_comment";"created_at";"views";"likes";"allow_use";"watermark_size";"watermark_opacity";"watermark_position";"actual_watermark_size";"is_featured";"original_width";"original_height";"final_width";"final_height";"shooting_time";"shooting_location";"Cam";"Lens";"FocalLength";"ISO";"F";"Shutter"
1885;429;93684;"飞机";"中国人民解放军空军";"Chengdu J-20";"63101";"2025-09-20 13:33:00";"长春大房身机场";"6961e4ff10932_615A8281.jpeg";1;"";"";"2026-01-10 12:34:56";11;0;1;15;80;"top-right";0;0;6922;4617;4217;2813;"2026-01-10 05:34:56";"";"";"";0;0;0.0;""
1886;428;93684;"东航";"中国东方航空公司";"A330-200";"B-5902";"2024-08-10 08:49:00";"青岛胶东国际机场";"6961e884b8495_mmexport1767372908523.jpg";2;"消除脏点再上传";"图片模糊，细节不清晰，不符合发布标准";"2026-01-10 12:49:56";1;0;1;21;50;"bottom-right";0;0;4307;2627;4307;2627;"2026-01-10 05:49:56";"";"";"";0;0;0.0;""
1887;428;93684;"熊猫";"四川航空";"A350-941";"B-304V";"2024-12-10 11:50:00";"青岛胶东国际机场";"6961e8eacd9b7_mmexport1767372907516.jpg";2;"一架飞机只能传一张";"";"2026-01-10 12:51:39";1;0;1;22;50;"bottom-right";0;0;4885;3257;4885;3257;"2026-01-10 05:51:39";"";"";"";0;0;0.0;""
1888;428;93684;"上航";"上海航空";"B787-9";"B-208X";"2024-12-10 00:52:00";"上海浦东国际机场";"6961e9251cc86_mmexport1766927894387.jpg";2;"对比度不适宜";"";"2026-01-10 12:52:37";5;0;1;20;50;"bottom-right";0;0;1440;960;1440;960;"2026-01-10 05:52:37";"";"";"";0;0;0.0;""
1889;424;0;"第一万架空客";"新加坡航空";"a350";"9V-SMF";"2026-01-10 13:22:00";"CGK ";"6961f0371ed88_6498d3711c857d13da9f2a07f8528bee.jpeg";1;"";"";"2026-01-10 13:22:47";8;0;1;15;80;"top-left";0;0;1920;1280;1920;1280;"2026-01-10 06:22:47";"";"";"";0;0;0.0;""
1890;424;0;"gia";"Garuda indonesia";"b738-800";"PK-GMW";"2026-01-10 13:24:00";"dps";"6961f0c94cf17_d329b5c3a74401de7707d295d6e830be.jpeg";1;"";"";"2026-01-10 13:25:13";9;0;1;15;80;"top-left";0;0;6722;3781;6722;3781;"2026-01-10 06:25:13";"";"";"";0;0;0.0;""
1891;424;0;"维珍";"维珍航空";"B737-8";"vh8ic";"2026-01-03 13:25:00";"dps";"6961f0f85d944_f14fb1e3a94aa2a66b5e2ec124570473.jpeg";1;"";"";"2026-01-10 13:26:00";4;0;1;15;80;"top-left";0;0;4740;2666;4740;2666;"2026-01-10 06:26:00";"";"";"";0;0;0.0;""
1895;424;426;"墨镜";"吉祥航空";"A320NEO";"B-32HD";"2026-01-03 17:32:00";"DPS";"69621cde516f8_MIMG_0578.jpg";1;"";"";"2026-01-10 16:33:19";4;0;1;15;80;"top-left";0;0;6677;3756;4674;2629;"2026-01-10 09:33:19";"";"";"";0;0;0.0;""
1896;423;426;"小黄";"酷航";"Airbus A320";"b-2472";"2026-01-01 16:32:00";"cgk";"69621cdfaa4f2_Screenshot 2025-10-25 173115.png";2;"裁切";"";"2026-01-10 16:33:20";1;0;1;15;80;"top-left";0;0;1691;1141;1691;1141;"2026-01-10 09:33:20";"";"";"";0;0;0.0;""
1898;424;427;"卡航25周年";"QATAR";"787-8";"A7-BCZ";"2026-01-03 17:37:00";"DPS";"69621de8e0701_MIMG_0555.jpg";1;"过度处理";"";"2026-01-10 16:37:46";6;0;1;15;80;"top-left";0;0;5951;3347;4455;2506;"2026-01-10 09:37:46";"";"";"";0;0;0.0;""
